Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
284,2016-12-01 00:17:04,2016-12-01 00:21:48,545,E 23 St & 1 Ave,40.736502,-73.97809472,325,E 19 St & 3 Ave,40.73624527,-73.98473765,25641,Subscriber,1954,2
260,2016-12-01 00:17:22,2016-12-01 00:21:42,461,E 20 St & 2 Ave,40.73587678,-73.98205027,402,Broadway & E 22 St,40.7403432,-73.98955109,26995,Subscriber,1987,1
620,2016-12-01 00:17:33,2016-12-01 00:27:54,217,Old Fulton St,40.70277159,-73.99383605,3332,Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,26894,Subscriber,1964,1
118,2016-12-01 00:18:08,2016-12-01 00:20:06,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,25835,Subscriber,1981,1
375,2016-12-01 00:18:32,2016-12-01 00:24:47,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,480,W 53 St & 10 Ave,40.76669671,-73.99061728,25259,Subscriber,1988,1
251,2016-12-01 00:19:21,2016-12-01 00:23:32,3265,E 2 St & 2 Ave,40.7245634290432,-73.9894437789917,393,E 5 St & Avenue C,40.72299208,-73.97995466,26096,Subscriber,1995,1
294,2016-12-01 00:19:22,2016-12-01 00:24:17,347,Greenwich St & W Houston St,40.728846,-74.008591,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,26063,Subscriber,1971,1
497,2016-12-01 00:19:22,2016-12-01 00:27:39,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,3335,Union St & 4 Ave,40.6772744,-73.98282002,19648,Subscriber,1970,1
376,2016-12-01 00:19:35,2016-12-01 00:25:52,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,26587,Subscriber,1970,1
296,2016-12-01 00:20:13,2016-12-01 00:25:10,3399,7 St & 3 Ave,40.67260298150126,-73.98983001708984,3304,6 Ave & 9 St,40.668127,-73.98377641,14601,Subscriber,1968,1
411,2016-12-01 00:20:17,2016-12-01 00:27:09,453,W 22 St & 8 Ave,40.74475148,-73.99915362,442,W 27 St & 7 Ave,40.746647,-73.993915,22269,Subscriber,1966,1
868,2016-12-01 00:20:29,2016-12-01 00:34:58,127,Barrow St & Hudson St,40.73172428,-74.00674436,523,W 38 St & 8 Ave,40.75466591,-73.99138152,19066,Subscriber,1985,1
1748,2016-12-01 00:20:31,2016-12-01 00:49:39,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3295,Central Park W & W 96 St,40.79127,-73.964839,18585,Subscriber,1991,1
1142,2016-12-01 00:21:13,2016-12-01 00:40:16,254,W 11 St & 6 Ave,40.73532427,-73.99800419,349,Rivington St & Ridge St,40.71850211,-73.98329859,24862,Subscriber,1959,2
640,2016-12-01 00:21:15,2016-12-01 00:31:55,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,511,E 14 St & Avenue B,40.72938685,-73.97772429,22115,Subscriber,1996,1
621,2016-12-01 00:21:51,2016-12-01 00:32:12,3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,317,E 6 St & Avenue B,40.72453734,-73.98185424,18309,Subscriber,1964,2
